"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Recommended Courses","Hours","Lecture","Lab","Tutorial","Seminar","Breadth Requirement","Delivery Format","Distribution Requirement","Note"
"37","CSC454H1","The Business of Software","Designed and delivered by industry experts in successful commercialization of tech startups, this course focuses on the development of a viable business and startup in partnership and mentorship from industry businesses and entrepreneurs. The course is designed to be taken by students from any faculty or discipline. It focuses on helping them understand and develop business sense, introduce modern customer development, and teach skills in product development, financial management, marketing, and leadership. Alongside the software engineering abilities of CSC491H1 teammates, skills learned in CSC454H1 will aid the development of a viable startup. For more details visit our website at https://www.dcsil.ca/student-courses. Not eligible for CR/NCR option. Students must submit an application to the course describing relevant interests, experience, and skills and general academic history. On this application, you will indicate whether you wish to be considered for CSC454H1 only, or CSC454H1 and CSC491H1. Application questions are set and assessed by the instructor. Applications are due in summer for the Fall term, and late fall for the Winter term. Please visit https://q.utoronto.ca/courses/221753/pages/400-level-course-balloting-and-applications for application deadlines and details. A decision on your application will be confirmed approximately 2-3 weeks after the application deadline, so students should enrol in an alternate course until the results of their application are confirmed.","0.5","CSCD54H3. Students not enrolled in the Computer Science Major or Specialist program at A&S, UTM, or UTSC, or the Data Science Specialist at A&S, are limited to a maximum of 1.5 credits in 300-/400-level CSC/ECE courses.","","2.5 credits at the 300-level or higher","","24L/12T",TRUE,FALSE,TRUE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"38","CSC490H1","Capstone Design Project","This half-course gives students experience solving a substantial problem that may span several areas of Computer Science. Students will define the scope of the problem, develop a solution plan, produce a working implementation, and present their work using written, oral, and (if suitable) video reports. Class time will focus on the project, but may include some lectures. The class will be small and highly interactive. Project themes change each year. Contact the Computer Science Undergraduate Office for information about this year’s topic themes, required preparation, and course enrolment procedures. Not eligible for CR/NCR option. Students must submit an application to the course describing relevant interests, experience, and skills and general academic history. Application questions are set and assessed by the instructor. Applications are due in summer for the Fall term, and late fall for the Winter term. Please visit https://q.utoronto.ca/courses/221753/pages/400-level-course-balloting-and-applications for application deadlines and details. A decision on your application will be confirmed approximately 2-3 weeks after the application deadline, so students should enrol in an alternate course until the results of their application are confirmed.","0.5","Students not enrolled in the Computer Science Major or Specialist program at A&S, UTM, or UTSC, or the Data Science Specialist at A&S, are limited to a maximum of 1.5 credits in 300-/400-level CSC/ECE courses.","","1.5 credits of 300+ level CSC courses.","","48L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"39","CSC491H1","Capstone Design Project","This course is designed and delivered by industry experts from the Software/Tech fields. Students will work with teammates from CSC454H1 to develop a marketable startup on a selected theme. The class will be small and highly interactive. You will work to develop working software industry best practices. You are expected to have experience writing software and be able to learn on the go. For more details, visit our website at https://www.dcsil.ca/student-courses. Not eligible for CR/NCR option. Students submit a single application for CSC491H1 and CSC454H1, describing relevant interests, experience, and skills and general academic history. Application questions are set and assessed by the instructor. Applications are due in summer for the Fall term, and late fall for the Winter term. Please visit https://q.utoronto.ca/courses/221753/pages/400-level-course-balloting-and-applications for application deadlines and details. A decision on your application will be confirmed approximately 2-3 weeks after the application deadline, so students should enrol in an alternate course until the results of their application are confirmed.","0.5","CSCD90H3. Students not enrolled in the Computer Science Major or Specialist program at A&S, UTM, or UTSC, or the Data Science Specialist at A&S, are limited to a maximum of 1.5 credits in 300-/400-level CSC/ECE courses.","CSC454H1/CSC2527H","","Recommended Preparation 2.5 CSC credits at the 300-level or higher.","48L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"40","CSC494H1","Computer Science Project","This half-course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member, and is restricted to students in an Arts & Science Computer Science program or Data Science Specialist program. Not eligible for CR/NCR option. Students must submit an application to the course. Applications request information about students’ planned project and project supervisor. Applications for each term are due no later than the end of the first week of classes in that term. Please visit https://q.utoronto.ca/courses/221753/pages/400-level-course-balloting-and-applications for application deadlines and details. A decision on your application will be confirmed approximately 2-3 weeks after the application deadline, so students should enrol in an alternate course until the results of their application are confirmed.","0.5","CSC492H5, CSC493H5, CSCD94H3, CSCD95H3. Students not enrolled in the Computer Science Major or Specialist program at A&S, UTM, or UTSC, or the Data Science Specialist at A&S, are limited to a maximum of 1.5 credits in 300-/400-level CSC/ECE courses.","","1.5 credits of 300+ level CSC courses.","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"41","CSC495H1","Computer Science Project","This half-course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member, and is restricted to students in an Arts & Science Computer Science program or Data Science Specialist program. Not eligible for CR/NCR option. Students must submit an application to the course. Applications request information about students’ planned project and project supervisor. Applications for each term are due no later than the end of the first week of classes in that term. Please visit https://q.utoronto.ca/courses/221753/pages/400-level-course-balloting-and-applications for application deadlines and details. A decision on your application will be confirmed approximately 2-3 weeks after the application deadline, so students should enrol in an alternate course until the results of their application are confirmed.","0.5","CSC492H5, CSC493H5, CSCD94H3, CSCD95H3. Students not enrolled in the Computer Science Major or Specialist program at A&S, UTM, or UTSC, or the Data Science Specialist at A&S, are limited to a maximum of 1.5 credits in 300-/400-level CSC/ECE courses.","","CSC494H1. 1.5 credits of 300+ level CSC courses.","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"42","CSC494Y1","Computer Science Project","This course involves a significant multidisciplinary project in an area of Computer Science completed in partnership with another academic unit. Not eligible for CR/NCR option. Students must submit an application to the course. Application requirements and timelines are set and assessed by the instructor or partnering program. Please visit https://q.utoronto.ca/courses/221753/pages/400-level-course-balloting-and-applications for application deadlines and details.","1.0","Students not enrolled in the Computer Science Major or Specialist program at A&S, UTM, or UTSC, or the Data Science Specialist at A&S, are limited to a maximum of 1.5 credits in 300-/400-level CSC/ECE courses.","","1.5 credits of 300+ level CSC courses.","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"43","STA490Y1","Statistical Consultation, Communication, and Collaboration","Through case studies and collaboration with researchers in other disciplines, students develop skills in the collaborative practice of Statistics. Focus is on pragmatic solutions to practical issues including study design, dealing with common complications in data analysis, and ethical practice, with particular emphasis on written communication. An application must be completed during the priority enrolment period the summer before the course is offered. This online application is available in the Special Enrollment Course section of https://utoronto.sharepoint.com/sites/ArtSci-STA/Undergrad/SitePages/Home.aspx. Priority will be given to students who are completing all requirements of the Specialist in Statistical Science: Methods and Practice or the Applied Statistics Specialist that academic year. Space permitting, students in the Statistics Specialist, the Specialist in Statistical Science: Theory and Methods, the Data Science Specialist, or the Statistics Major will be considered for enrolment in the order in which they applied.","1.0","","one additional 400 level STA course","STA303H1, STA304H1/ STA305H1, STA355H1","","48L/48P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"44","STA496H1","Readings in Statistics","Independent study under the direction of a Department of Statistical Sciences faculty member. There are a limited number of spaces in this course, and capacity varies from year to year based on the availability of faculty supervisors. Enrolment is subject to Department of Statistical Sciences and faculty supervisor approval. Students interested in this course should contact the department at ug.statistics@utoronto.ca for information on how to apply for enrolment in this course in a given year. Not eligible for CR/NCR option.","0.5","STA497H1/ STA498Y1/ STA499Y1","","At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"45","STA497H1","Readings in Statistics","Independent study under the direction of a Department of Statistical Sciences faculty member. There are a limited number of spaces in this course, and capacity varies from year to year based on the availability of faculty supervisors. Enrolment is subject to Department of Statistical Sciences and faculty supervisor approval. Students interested in this course should contact the department at ug.statistics@utoronto.ca for information on how to apply for enrolment in this course in a given year. Not eligible for CR/NCR option.","0.5","STA496H1/ STA498Y1/ STA499Y1","","At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"46","STA498Y1","Readings in Statistics","Independent study under the direction of a Department of Statistical Sciences faculty member. There are a limited number of spaces in this course, and capacity varies from year to year based on the availability of faculty supervisors. Enrolment is subject to Department of Statistical Sciences and faculty supervisor approval. Students interested in this course should contact the department at ug.statistics@utoronto.ca for information on how to apply for enrolment in this course in a given year. Not eligible for CR/NCR option.","1.0","STA496H1/ STA497H1/ STA499Y1","","At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
"47","STA499Y1","Readings in Statistics","Independent study under the direction of a Department of Statistical Sciences faculty member. There are a limited number of spaces in this course, and capacity varies from year to year based on the availability of faculty supervisors. Enrolment is subject to Department of Statistical Sciences and faculty supervisor approval. Students interested in this course should contact the department at ug.statistics@utoronto.ca for information on how to apply for enrolment in this course in a given year. Not eligible for CR/NCR option.","1.0","STA496H1/ STA497H1/ STA498Y1","","At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","In Class","Science",""
