"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Equivalency","Lab","Note"
"55","MATH 4240","Advanced Group Theory","Representation theory of finite groups, presentations of finite and infinite groups, or other topics.",3,"","","MATH 3322 or the former MATH 3350 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"56","MATH 4260","Abstract Measure Theory","Lebesgue and abstract measures, measurable functions, convergence theorems, absolutely continuous functions, measure spaces, the Radon-Nikodym theorem, Fubini's and Tonnelli's theorems. Not to be held with the former MATH 4750.",3,"MATH 4750","","MATH 3472 or the former MATH 3740 (B+) or the former MATH 3760","",FALSE,"Mathematics Requirement, Science"
"57","MATH 4270","Algebraic Topology","This course will serve as an introduction to elements of homotopy or homology theory. Not to be held with the former MATH 4230.",3,"MATH 4230","","(MATH 3320 or the former MATH 3300) and (MATH 3390 or the former MATH 3240), or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"58","MATH 4280","Basic Functional Analysis","Banach spaces, Hahn-Banach, open mapping and closed graph theorems, principle of uniform boundedness, linear operators and functionals, dual space, Lp and Lq spaces, weak and weak* topologies, Hilbert spaces and compact operators on a Hilbert space. Not to be held with the former MATH 4750.",3,"MATH 4750","","[MATH 3472 or the former MATH 3740 (B+) or the former MATH 3760] and (MATH 3390 or the former MATH 3240), or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"59","MATH 4290","Complex Analysis 2","Conformal mappings, normal families, harmonic and subharmonic functions, Perron's family, Dirichlet problem and Green's function. Not to be held with the former MATH 4710.",3,"MATH 4710","","[MATH 3340 or the former MATH 3700 (B+) or the former MATH 3710] and (MATH 3390 or the former MATH 3240)","",FALSE,"Mathematics Requirement, Science"
"60","MATH 4300","Combinatorial Geometry","Topics in combinatorial geometry, including arrangements of convex bodies, introduction to polytopes, problems in discrete geometry, repeated distances, and geometric graphs.",3,"","","MATH 3360 or the former MATH 3400 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"61","MATH 4320","Dynamical Systems","Techniques for the qualitative analysis of nonlinear systems of ordinary differential equations and discrete-time systems. Not to be held with the former MATH 4800.",3,"MATH 4800","","MATH 3440 or the former MATH 3800","",FALSE,"Mathematics Requirement, Science"
"62","MATH 4330","Fundamentals of Approximation Theory","Theoretical aspects of approximation theory: density, existence, uniqueness; direct and inverse theorems for polynomial approximation.",3,"","","(MATH 2080 or MATH 2081 or the former MATH 2202) and (MATH 2160 or MATH 2161 or the former MATH 2600 or the former MATH 2601), or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"63","MATH 4340","Introduction to Algebraic Geometry","This course will introduce students to the basics of affine and projective varieties through a combination of basic theoretical tools and elementary examples.",3,"","","MATH 3322 or the former MATH 3350 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"64","MATH 4360","Introduction to Differential Geometry","Manifolds and submanifolds; vector and tensor fields, Lie brackets and derivatives. Also at least one of the following: exterior differential calculus and Stokes' theorem, introduction to Riemannian geometry, symplectic geometry and hamiltonian mechanics. Not to be held with the former MATH 4730.",3,"MATH 4730","","[MATH 3472 or the former MATH 3740 (B) or the former MATH 3760] and (MATH 3390 or the former MATH 3240)","",FALSE,"Mathematics Requirement, Science"
"65","MATH 4370","Linear Algebra and Matrix Analysis","Vector and matrix norms, matrix factorizations, eigenvalues and eigenvectors, theory of non-negative matrices. Applications to differential equations, math biology, numerical analysis, digital image processing, data mining, GPS, Markov chains, graph theory, etc. will be given in this course. Not to be held with the former MATH 4310.",3,"MATH 4310","","MATH 2090 or MATH 2091 or the former MATH 2300 (B) or the former MATH 2301 (B) or the former MATH 2350 or the former MATH 2352","",FALSE,"Mathematics Requirement, Science"
"66","MATH 4380","Mathematical Biology","Formulation, analysis and simulation of suitable models in mathematical biology. Applications will be chosen from fields such as population dynamics, epidemiology, ecology, immunology and cellular dynamics. Not to be held with the former MATH 3530.",3,"MATH 3530","","MATH 4320 or the former MATH 3800 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"67","MATH 4390","Numerical Approximation Theory","Computational aspects of approximation by interpolatory polynomials, convolutions, artificial neural networks, splines and wavelets.",3,"","","[MATH 2150 or MATH 2151 or MATH 2720 (B) or MATH 2721 (B) or the former MATH 2750] and (MATH 2160 or MATH 2161 or the former MATH 2600 or the former MATH 2601), or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"68","MATH 4440","Numerical Analysis of Partial Differential Equations","Finite difference method, mathematical theory of Elliptic PDEs, finite element method, iterative solution of linear systems. Emphasis will be on the error analysis (stability, consistency and convergence) of the various methods.",3,"","","(MATH 3420 or the former MATH 3600 or the former MATH 3601) and (MATH 3460 or the former MATH 3810) and [MATH 3470 or the former MATH 3740 (B) or the former MATH 3760], or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"69","MATH 4450","Number Theory 2","Algebraic number theory, arithmetic geometry and analytic number theory, Diophantine equations, examples such as arithmetic of elliptic curves and Dirichlet L-functions. Not to be held with the former MATH 3450.",3,"MATH 3450","","[(MATH 2020 or MATH 2021) and MATH 2170] or [(the former MATH 2500 or the former MATH 2501) and the former MATH 2202 and the former MATH 2750], or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"70","MATH 4460","Partial Differential Equations 2","Green's function, Poisson, heat, Schrodinger and wave equations in two and three spatial dimensions, variational characterization of eigenvalues, Fourier and Laplace transforms, introduction to functional analytic techniques in PDEs. Not to be held with the former MATH 4810.",3,"MATH 4810","","(MATH 3460 or the former MATH 3810) and [MATH 3470 or the former MATH 3740 (B) or the former MATH 3760], or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"71","MATH 4470","Rings and Modules","The general theory of (non-commutative) rings, modules and algebras.",3,"","","MATH 3322 or the former MATH 3350 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"72","MATH 4910","Project Course in Mathematics","A research project by the student in consultation with the department head and an appropriate supervising Faculty member. A written report will be required to be submitted by the end of the term. An oral examination may be required. This course is restricted to students in the fourth year of the Honours or Major program in Mathematics and is not available to Graduate Students. This course may not be held for credit with MATH 4900.",3,"MATH 4900","","Consent of Department","",FALSE,"Mathematics Requirement, Science"
"73","MATH 4920","Topics in Mathematics","Topics of current interest in Mathematics or Applied Mathematics upon the interests and requirements of students and faculty, and will include specialized topics not available in regular course offerings.",3,"","","consent of department","",FALSE,"Mathematics Requirement, Science"
"74","MATH 4921","Sujets choisis en mathématiques","Sujets d'intèrêt courant en mathèmatiques ou en mathèmatiques appliqués, selon les besoins et interet des ètudiants et professeurs, incluant notamment des sujets specializes non disponibles dans les autres cours offerts par le secteur. L'ètudiant(e) ne peut se fair crèditer à la fois le MATH 4921 et le MATH 4920. Prèalable: autorisation par le chef du secteur des sciences mathèmatiques.",3,"","","","MATH 4920",FALSE,""
